UserID,USERNAME,PASSWORD,EMAIL,ADMIN,,,,,,,,,
1,corey72,kjcXZG81Bts3]p#t,corey72@example.com,1,,,,,,,,,
2,keithjenkins,Q{}?>-6ORWMJnLl#,keithjenkins@example.com,0,,,,,,,,,
3,frostwesley,uYK%!YRQ>:4mOceT,frostwesley@example.com,0,,,,,,,,,
4,gail78,3s=0TI(C%5hp4<a0,gail78@example.com,0,,,,,,,,,
5,zbrown,[qR|twM;k.TA=48{,zbrown@example.com,0,,,,,,,,,
6,andrew93,lP0i$:FWZ*vl_eXW,andrew93@example.com,0,,,,,,,,,
7,brent18,p1>2h}>?%uy![2#D,brent18@example.com,0,,,,,,,,,
8,annamccarthy,8]O}[1yoBSH>YQ]J,annamccarthy@example.com,0,,,,,,,,,
9,fmyers,4??4QIgL1=*)%Q:*,fmyers@example.com,0,,,,,,,,,
10,jennifer58,"N+!D,r6g;EDV5k|R",jennifer58@example.com,0,,,,,,,,,
11,deannavalencia,40smvSj3.jt@DfJH,deannavalencia@example.com,0,,,,,,,,,
12,tyler12,fW5M0+<_6?xeG8jM,tyler12@example.com,0,,,,,,,,,
13,michelle30,O;>]a5!E-%Rc<u*_,michelle30@example.com,0,,,,,,,,,
14,gaybarbara,<mAuJ@wCbw5gSct2,gaybarbara@example.com,0,,,,,,,,,
15,rebeccajohnson,2ch?8^lQ!g+ZI0&v,rebeccajohnson@example.com,0,,,,,,,,,
16,hudsonlaura,"2LN%,Sl(97xI[%9C",hudsonlaura@example.com,0,,,,,,,,,
17,eric78,HU0db!=24swR[ZvF,eric78@example.com,0,,,,,,,,,
18,steven95,N]Sy2EJ:Kifpwvl5,steven95@example.com,0,,,,,,,,,
19,juanburgess,J&|+wkW9latkVy1>,juanburgess@example.com,0,,,,,,,,,
20,frostcharles,:04xRX8;|4>r8;8u,frostcharles@example.com,0,,,,,,,,,
21,deanstark,^H5MU]ZgU.B&0hp=,deanstark@example.com,0,,,,,,,,,
22,wtaylor,5]][q0t0b3LX]:KB,wtaylor@example.com,0,,,,,,,,,
23,michaelrivera,2jvNckWfU2za$yW$,michaelrivera@example.com,0,,,,,,,,,
24,kkaiser,@5-BDr.efQ8o1c]>,kkaiser@example.com,0,,,,,,,,,
25,shannon20,;Vr%:QHZVhZ2uv#3,shannon20@example.com,0,,,,,,,,,
26,eric07,"?,9eE7|u}ncUgvVY",eric07@example.com,0,,,,,,,,,
27,smithwilliam,m=[-xAx3Aj3B5?7A,smithwilliam@example.com,0,,,,,,,,,
28,zmartinez,CFnc5j)Q@B54Ow_x,zmartinez@example.com,0,,,,,,,,,
29,karigreen,24+>;IjvzFTk|afU,karigreen@example.com,0,,,,,,,,,
30,dbaker,pDc&=A6EP!CMHoa0,dbaker@example.com,0,,,,,,,,,
31,johnwashington,17on#a72dW$%TT<^,johnwashington@example.com,0,,,,,,,,,
32,ericabell,5;u=X;4j:}<}U7W1,ericabell@example.com,0,,,,,,,,,
33,gonzalezkaren,",D^AY6;l3Wp7h<7y",gonzalezkaren@example.com,0,,,,,,,,,
34,nhubbard,^Xy?4vR|]X}x-IW0,nhubbard@example.com,0,,,,,,,,,
35,djohnston,6.00woF#v<T@OgxS,djohnston@example.com,0,,,,,,,,,
36,ianjohnson,)f?^=6)wWv}6J2$a,ianjohnson@example.com,0,,,,,,,,,
37,vbrowning,9Y%o>VhhW>Yo%5|l,vbrowning@example.com,0,,,,,,,,,
38,frodriguez,"5>j_WO,>TonCs:.b",frodriguez@example.com,0,,,,,,,,,
39,davidmcconnell,tCoYN;o0+q9vWH1c,davidmcconnell@example.com,0,,,,,,,,,
40,brianmoon,",2J.P]B,8oTrk1y,",brianmoon@example.com,0,,,,,,,,,
